Date;Heure;Profondeur;Vitesse;Effort
22/10/2025;13:23:01;12,99835003;18,6;87,58528183
22/10/2025;13:23:02;13,30063724;18,7;118,9591141
22/10/2025;13:23:03;13,60292445;18,9;125,4953292
22/10/2025;13:23:04;13,90521166;18,9;100,657712
22/10/2025;13:23:05;14,20749887;18,7;94,12149689
22/10/2025;13:23:06;14,50978608;18,5;81,70268828
22/10/2025;13:23:07;14,81207329;18,2;94,12149689
22/10/2025;13:23:08;15,1143605;18,5;94,12149689
22/10/2025;13:23:09;15,51741011;18,1;87,58528183
22/10/2025;13:23:10;15,81969732;18,3;100,657712
22/10/2025;13:23:11;16,12198453;18,3;113,0765206
22/10/2025;13:23:12;16,42427174;18,6;87,58528183
22/10/2025;13:23:13;16,72655895;18,5;113,0765206
22/10/2025;13:23:14;17,02884616;18,8;125,4953292
22/10/2025;13:23:15;17,33113337;18,7;125,4953292
22/10/2025;13:23:16;17,63342058;18,8;94,12149689
22/10/2025;13:23:17;17,93570779;18,3;94,12149689
22/10/2025;13:23:18;18,3387574;20,2;125,4953292
22/10/2025;13:23:19;18,74180701;21,9;113,0765206
22/10/2025;13:23:20;19,04409422;22;100,657712
22/10/2025;13:23:21;19,44714384;22,1;106,5403055
22/10/2025;13:23:22;19,85019345;22;118,9591141
22/10/2025;13:23:23;20,15248066;22,3;118,9591141
22/10/2025;13:23:24;20,55553027;22,1;125,4953292
22/10/2025;13:23:25;20,95857989;22,2;132,0315443
22/10/2025;13:23:26;21,2608671;22,3;125,4953292
22/10/2025;13:23:27;21,66391671;22;113,0765206
22/10/2025;13:23:28;22,06696632;22,3;94,12149689
22/10/2025;13:23:29;22,47001594;22,2;113,0765206
22/10/2025;13:23:30;22,77230315;22,1;113,0765206
22/10/2025;13:23:31;23,17535276;22,2;100,657712
22/10/2025;13:23:32;23,57840237;22,2;125,4953292
22/10/2025;13:23:33;23,88068958;22,3;118,9591141
22/10/2025;13:23:34;24,2837392;22,1;125,4953292
22/10/2025;13:23:35;24,68678881;22,3;118,9591141
22/10/2025;13:23:36;24,98907602;22,3;118,9591141
22/10/2025;13:23:37;25,39212563;22,1;106,5403055
22/10/2025;13:23:38;25,79517524;22,3;94,12149689
22/10/2025;13:23:39;26,19822486;22,1;113,0765206
22/10/2025;13:23:40;26,50051207;22,1;118,9591141
22/10/2025;13:23:41;26,90356168;22,3;113,0765206
22/10/2025;13:23:42;27,30661129;22,1;113,0765206
22/10/2025;13:23:43;27,6088985;22,2;125,4953292
22/10/2025;13:23:44;28,01194812;22,4;125,4953292
22/10/2025;13:23:45;28,41499773;22,2;125,4953292
22/10/2025;13:23:46;28,81804734;22,4;144,4503529
22/10/2025;13:23:47;29,12033455;22,1;118,9591141
22/10/2025;13:23:48;29,52338417;22,3;118,9591141
22/10/2025;13:23:49;29,92643378;22,4;132,0315443
22/10/2025;13:23:50;30,22872099;22,1;118,9591141
22/10/2025;13:23:51;30,6317706;22,4;118,9591141
22/10/2025;13:23:52;31,03482022;22,3;113,0765206
22/10/2025;13:23:53;31,43786983;22,1;100,657712
22/10/2025;13:23:54;31,74015704;22,5;132,0315443
22/10/2025;13:23:55;32,14320665;22,3;132,0315443
22/10/2025;13:23:56;32,54625627;22,3;137,9141378
22/10/2025;13:23:57;32,84854348;22,4;118,9591141
22/10/2025;13:23:58;33,25159309;22,1;144,4503529
22/10/2025;13:23:59;33,6546427;22,4;118,9591141
22/10/2025;13:24:00;34,05769232;22,4;113,0765206
22/10/2025;13:24:01;34,35997953;22,2;125,4953292
22/10/2025;13:24:02;34,76302914;22,5;132,0315443
22/10/2025;13:24:03;35,16607875;22,4;132,0315443
22/10/2025;13:24:04;35,46836596;22,5;132,0315443
22/10/2025;13:24:05;35,87141557;22,4;118,9591141
22/10/2025;13:24:06;36,27446519;22,3;132,0315443
22/10/2025;13:24:07;36,6775148;22,4;132,0315443
22/10/2025;13:24:08;36,97980201;22,3;125,4953292
22/10/2025;13:24:09;37,38285162;22,4;150,3329464
22/10/2025;13:24:10;37,78590124;22,4;106,5403055
22/10/2025;13:24:11;38,18895085;22,3;132,0315443
22/10/2025;13:24:12;38,49123806;22,5;132,0315443
22/10/2025;13:24:13;38,89428767;22,4;132,0315443
22/10/2025;13:24:14;39,29733729;22,4;150,3329464
22/10/2025;13:24:15;39,7003869;22,5;125,4953292
22/10/2025;13:24:16;40,00267411;22,3;118,9591141
22/10/2025;13:24:17;40,40572372;22,4;144,4503529
22/10/2025;13:24:18;40,80877334;22,4;132,0315443
22/10/2025;13:24:19;41,11106055;22,2;118,9591141
22/10/2025;13:24:20;41,51411016;22,5;144,4503529
22/10/2025;13:24:21;41,91715977;22,3;132,0315443
22/10/2025;13:24:22;42,32020939;22,5;137,9141378
22/10/2025;13:24:23;42,6224966;22,5;137,9141378
22/10/2025;13:24:24;43,02554621;22,3;144,4503529
22/10/2025;13:24:25;43,42859582;22,5;125,4953292
22/10/2025;13:24:26;43,83164544;22,3;144,4503529
22/10/2025;13:24:27;44,13393265;22,3;113,0765206
22/10/2025;13:24:28;44,53698226;22,5;144,4503529
22/10/2025;13:24:29;44,94003187;22,2;125,4953292
22/10/2025;13:24:30;45,24231908;22,5;137,9141378
22/10/2025;13:24:31;45,64536869;22,4;144,4503529
22/10/2025;13:24:32;46,04841831;22,4;137,9141378
22/10/2025;13:24:33;46,45146792;22,6;150,3329464
22/10/2025;13:24:34;46,75375513;22,3;137,9141378
22/10/2025;13:24:35;47,15680474;22,4;137,9141378
22/10/2025;13:24:36;47,55985436;22,4;156,8691615
22/10/2025;13:24:37;47,96290397;22,3;132,0315443
22/10/2025;13:24:38;48,26519118;22,6;137,9141378
22/10/2025;13:24:39;48,66824079;22,3;144,4503529
22/10/2025;13:24:40;49,07129041;22,3;137,9141378
22/10/2025;13:24:41;49,47434002;22,5;137,9141378
22/10/2025;13:24:42;49,77662723;22,4;144,4503529
22/10/2025;13:24:43;50,17967684;22,6;132,0315443
22/10/2025;13:24:44;50,58272646;22,4;144,4503529
22/10/2025;13:24:45;50,98577607;22,3;144,4503529
22/10/2025;13:24:46;51,28806328;22,5;137,9141378
22/10/2025;13:24:47;51,69111289;22,3;150,3329464
22/10/2025;13:24:48;52,09416251;22,4;137,9141378
22/10/2025;13:24:49;52,39644972;22,4;137,9141378
22/10/2025;13:24:50;52,79949933;22,3;144,4503529
22/10/2025;13:24:51;53,20254894;22,5;144,4503529
22/10/2025;13:24:52;53,60559856;22,4;150,3329464
22/10/2025;13:24:53;53,90788577;22,5;156,8691615
22/10/2025;13:24:54;54,31093538;22,6;144,4503529
22/10/2025;13:24:55;54,71398499;22,4;144,4503529
22/10/2025;13:24:56;55,11703461;22,4;137,9141378
22/10/2025;13:24:57;55,41932182;22,5;137,9141378
22/10/2025;13:24:58;55,82237143;22,4;132,0315443
